content,events refined
"The auto refresh on the news feed is making it nearly unusable, click on a link or story, read for 2min then click back and it reloads the whole news feed with the article you just read never to be found again and unable to comment on or read the next article in the news feed you saw before you clicked the first article, this is marketing tactics by Facebook to try and have as much different content jammed in your face as they can to increase marketing revenue income.","[I click on a link or story, I read for 2 minutes, I click back, It reloads the whole news feed and the article never to be found again][I am unable to comment on or read the next article in the news feed i saw before i clicked the first article ]"
Can't block all reels and ones u can don't work as it's a person not the page just comes back can only mute for 30 days and not block on pages not even apart of the page and reels are incomplete no part 2 to be seen etc when watching and on video tab to get full story's they constantly stop or not play after watching the add without scrolling away and back which is annoying as hell this app while extremely useful in keeping connected to people seems to get worse in all other aspects in time,"[I can't block all the reels][I block a reel, It comes back after 30 days][Reels are incomplete with no part 2 to be found][I watch an ad on video tab, the video stop or fail] 




"
"It causes some unexpected log outs and u cant even log in ur acc, also nothing really changes in my opinion still causes some bugs and sudden exit in the app, other one is when u post a myday even your are done is sudenly it just go agin in the posting part like choosing the pic u want to post.","[The app causes some unexpected log outs][The app does not let me log in to my account][It causes some bugs and sudden exit in the app][I post a myday, the app just go again in the posting part suddenly like choosing the picture I want to post]"
"If I click a link on Facebook that leads to an external website or some group, and then go back, Facebook completely reloads, returning to the main page and loading new content, instead of as it used to be - going back to the post or comments I was reading, so now i cannot continue reading the thing I am interested in.","[I click a link on Facebook, the app leads to an external website or some group, I go back, the app completely reloads, the app returns to the main page, the app loads new content instead of going back to the post or comments I was reading, I cannot continue reading the thing I am interested in]"
"App has been fine until yesterday's update tried to get in today and it keeps telling me session has expired, reinstalled and still locked in that screen and cannot log back in through any of the options.","[I updated the app yesterday, I tried to get in today, It keeps telling me session has expired, I reinstalled it, It still locked in that screen, I cannot log back in through any of the options]"
"I have a Huawei tablet T5 and 2 days now every time i access fb after about 10 seconds i keep getting the message ""u need to update fb to continue"", i follow the link tha gets me in playstore under fb application where i get 2 options, ""open"" and ""uninstall"", if i hit open gets back to fb and afterca couple o secs i get the same message again, i also did uninstall 3 times so far and nothing changes, any idea why i get this message???","[I access the app on my Huawei tablet T5, I keep getting the message to update it, I follow the link, It gets me in play store, I get two options: ""open"" and ""uninstall"", I hit open, It gets back to Facebook, I get the same message again][I did uninstall 3 times, Nothing changes]"
"Absolute joke just totally wiped out my existence so tried to get back in, they sent codes by WhatsApp numerous times I NEVER RECEIVED ANY, we will contact your phone and you get in that way OH NO YOU DIDNT so as I can't use fb or msgr I came to app and tried to uninstall but it decided to update so when it's finished we will see if it's worked if not bye bye fb etc","[I tried to get back in, It sent codes by WhatsApp, I didn't receive any]"
It won't log me in even though I enter the saved password it keeps saying sesson expired please log in and when I do it says unable to log in try again later and when I do it repeats the session expired etc over and over again and when you do get a code and enter it the next thing is a blank white page,"[I enter the saved password, It won't log me in, It keeps saying sesson expired please log in, I do it, It says unable to log in try again later, I do it, It repeats the session expired over and over again] [I get a code and enter it, It leads to a blank white page]"
Literally feel like this app is just something I am forced to keep around so my family can randomly I can't log into the app it just repeatedly keeps telling me to try again even when I set a new password the app restarts and tells me it's messed up I hate that everything leads back to Facebook now,"[I can't log into the app, It just repeatedly keeps telling me to try again] [I set a new password, It restarts, It tells me it's messed up]"
My facebook has been logged out of everysingle time i have closed the app and sometimes while im useing it and it gives me trouble logging back in everytime i have been having this issue since January and its too much personal information for yall to just be messing up and apparently im not the only one,"[I closed the app, It logs me out everytime, It gives me trouble logging back in] "
"My ID Just disconnected automatically by showing me error of ""session expired login again"" and when i am trying to login cannot beinng and again facing the same error of session expire or showing an other erro also that "" Unable to login an unexpected error occured please tey logging in agai"" Kindly check the issue and revert the resolution thanks","[My ID Just disconnected automatically, It showed me error of ""session expired login again"", I am trying to login, I am again facing the same error, It also shows "" Unable to login an unexpected error occured please try logging in again""] "
Since last updated I am unable to stay signed in it just keeps kicking me off saying session is expired and when I try to sign back in and keeps giving me an error happened and to try to sign in again without allowing me too,"[I am unable to stay signed in, It just keeps kicking me off saying session is expired, I try to sign back in, It keeps showing me an error happened, It asks to try to sign in again without allowing]"
"I've been using facebook for so long but why the hell i cant log in to mt account, same goes for the messenger app it always say's ""Login Session Expired"", this only happens today while im talking to some one pls fix this ASAP i already restarted my phone and i still can't get to log in to my account","[I cant log in to my account, It always says ""Login Session Expired"", I restarted my phone, I still can't get to log in to my account]"
Very bad connection when you go in it can you press on the app and it keeps flickering back and forth and then when I try to go to try to change my photos you only can change one photo,"[I go into the app, The connection is very bad] [I press on the app, It keeps flickering back and forth] [I try to change my photos, I only can change one photo]"
"Logged me out auto, nothing loads, and cannot log back in or even create a new avcount as its saying error with page, yet my co-worker app is working just fine only mine is denying me access on my phone, when i uninstalled, still shows intalled in play store","[It logged me out automatically, It loads nothing, I cannot log back in] [I can't create a new account, It's saying error with page] [It is denying me access on my phone] [I uninstalled it, It shows installed in play store]"
"Don't get any notifications when people like my photos/posts, but get notifications for pointless groups Im not interested in, I've tried changing the settings but nothing works, to now see likes on my posts/photos I have to go onto my profile to see who's liked them as I now don't get notifications for them","[People like my photos/posts, I don't get any notifications] [I get notifications for pointless groups that I'm not interested in, I've tried changing the settings, It doesn't work]"
"Having terrible bug where I can't even open app just says there's a problem and won't let me get in even after deleting the app and redownloading and resetting my phone, I know it's not my phone.","[I can't even open app, It says there's a problem] [I deleted the app and redownleaded it, It won't let me get in]"
"Stuck in a loop of trying to open the app, it logs me out, I try to log in, success, until 3 seconds in, feed hasn't even loaded and ""session expired, please log in"" How can the session be expired if I've only just opened it.","[I try to open the app, It logs me out] [I try to log in, It shows success until 3 seconds, Feed hasn't even loaded, It shows ""session expired, please log in""]"
"This time it gets worse because normal post are now turning into reels although it wasn't posted as a reel that's bad, and with the new page experience the notifications has to be separated ( Page Notifications from Profile notifications ) it's bad when it has to keep switching accounts when u tap on every notification 🥺","[Normal post are turning into reels][I'm getting page notification from profile notification][I tap on a notification, It keeps switching accounts]"
"I've been logged out of my Facebook and it keeps asking me to log back in which am trying to for it to keep coming up with ""something when wrong"" and I've try to unistalled and reinstalled the app and I've even try to reset my password and I keep getting the same message ""something when wrong"" so can you SORT IT OUT","[I've been logged out of my Facebook, it keeps asking me to log back, I am trying to do it, It to keep coming up with ""something when wrong"", I've tried to unistall and reinstall the app, I've even tried to reset my password, I keep getting the same message ""something when wrong""]"
"Too many privacy and data issues also the short clips from Instagram always freeze up and don't load properly, more hassle to use than anything will only use on PC from now on when I have to for my job postings",[It has too many privacy and data issues] [Short clips from Instagram always freeze up and don't load properly]
I to been experiencing problems from the Facebook app I don't know whats going on but i definitely isn't liking it i just actually uninstalled it and going to trying install it back to see maybe whats going on with the app but yeah i just was trying to open my app and it wouldn't open my phone eventually would ask to close the app or wait which i tried waiting a couple of times but after me trying a few times and it telling me the same which i pushed wait 2 times but still wouldn't open,"[I uninstalled it, I installed it back, I was trying to open it, It wouldn't open, It asks to close or wait, I tried waiting couple of times, It is telling me same]"
"This aap is good but when we play video it's generate ads of 1 or 2 min i think you can set the face book please, the face book is very slow it's contain 1mbs to work fast but the YouTube is play on only 100 mbs network please set the thing of facebook i like face book but it is the thing that i will not like face book || THANKS ||","[I play video, It generates ads]"
Notification have been very slow doesn't notify me anymore and when I do go on the app it doesn't notify me that I have messages or notifications until later so I've missed a lot of notifications,"[It doesn't notify me anymore] [I do go on the app, It doesn't notify me that I have messages or notifications until later, I've missed a lot of notifications]"
"It randomly logged me out, had a hard time changing my password, and now I can't authenticate because I'm waiting on a text message code that hasn't come...","[It randomly logged me out] [I can't authenticate, I'm waiting for a text message code, Code hasn't come]"
In latest version Facebook reels is crashing I want to created reel after before next reel is stuck and not working sometimes when i shoot video with camera,"[Reels are crashing][I create a reel, The next reel is stuck][When I shoot with video camera, It is not working]"
Lately posts and comments are slow to load(mostly when pics and videos are included and sometimes when there's only text in the posts),[It loads posts and comments very slow]
"I was literally just doing whatever and then suddenly it logged me out,, I know my password and when I try to log back in it just said it had an error ☹️☹️‼️","[Suddenly it logged me out, I try to log back in, It just said it had an error]"
"I have a question regarding fb that after my recent facebook update( yesterday that had done) the status size becomes bigger after i tap back button and covers my entire screen,I had cleared my cache and restart the app and even I uninstall and reinstall the app but thing is happening again and for that i need a solution.","[I tap back button, the status size becomes bigger and covers my entire screen,I had cleared my cache and restart the app, I uninstall and reinstall the app, The same thing is happening again]"
The latest update is so glitchy especially giving ghost images whenever you are trying to see who left emoticons.,[It is giving ghost images whenever I am trying to see who left emoticons]
I done verify my identity every type of way I can from using an actual ID from getting codes to my email address all three of them and to my phone number and still can't get into my Facebook and then there's no one I can actually speak toa person this is BS.,"[I verified my identity every type of way I can, I verified using an actual ID, I verified by getting codes to my email address and to my phone number, I still can't get into my Facebook]"
Slow run and crushes accour in videos side also whenever click on any videos it directly goes to reels side rather than open as video,"[Slow run and crashes occur in videos][I click on any video, It directly goes to reels side rather than opening as video]"
I got logged out i entered my password then it couldnt let me in it says unexpected error i tried few more times but it still the same thing so PLEASE fix this bug,"[I got logged out, I entered my password, It couldnt let me in, It says unexpected error][I tried few more times, it is still the same thing]"
I can't watch full videos without it completely stopping on me then I literally have to shut off Facebook and restart it all over again and it's really starting to make me mad.,"[I can't watch full videos, It completely stops on me, I have to shut off Facebook and restart it all over again]"
"Facebook used to be good,not great but good and now all kinds of profiles get hacked it keeps logging me out of my account when I didn't even want to and I'm not going to no support page or email or calling a numbers cause if support was real they'd deal with this right away",[It keeps logging me out of my account when I didn't even want to]
"I understand that Facebook is free to use, but it is very frustrating to wade thru ad after ad that has no interest to me to see real posts.",[It shows me unwanted ads]
"Most recent update is horrible, it's very slow and when I go to select a reaction it's just circles you can't see what the emocons are.","[When I go to select a reaction, It's just circles, I can't see what the emoticons are]"
"App is fine most of the time, but then other times, especially in Marketplace, it becomes jittery & unstable as.",[App becomes jittery & unstable in Marketplace]
"App keeps flashing randomly making impossible to use, and like instagram when you watch video but change screen or back to app you lose the video you were watching","[App keeps flashing randomly] [When I watch video, I change screen or go back to app, I lose the video I was watching]"
I've used fb for ages and now I can't even see the latest things it's always 24 hours old 2 days old I have uninstalled and left it for a bit then reinstalled and still have the same problem please fix,"[ I've used fb for ages, I can't even see the latest things, it shows contets 24 hours old 2 days old] [ I have uninstalled, I left it for a bit, I reinstalled, it still have the same problem]"
the constant blocking of my account for things I posted yrs ago..then not being able to contact someone about it to dispute it is getting annoying especially when there is content way worse than what I post,"[ it is blocking my account constantly for things I posted years ago, i cannot contact someone about it]  "
"I don't know what is going on with the dating part of the app but one day it's there and the next day it's gone 🙄🙄 and when I do get on it, it says it's not available but when I hit the settings, all my settings are still there.","[I cannot get to the dating part, i get to it, it says it's not available, i hit the settings, all my settings are still there]"
"The share pop-up after screenshot is so annoying it prevent me from taking long-form snapshot, even after disable picture-in-picture it's just work temporary"," [the share pop-up prevents me from taking long-form snapshot, i disable picture-in-picture, it's just work temporary]"
"it was good while it lasted,you see i only used facebook for their marketplace it lasted a few months but the new update or something deleted the marketplace option,if they fix that i would give 5 stars","[ I updated the app, it deleted the marketplace ]"
"Whats up with this new update, whenever I open the app the screen is white for 10 mins or so before it allows me to login, very frustrating.","[ I open the app, the screen is white for 10 mins or so before it allows me to login] "
"Something is going on with my Facebook it logged me out, when I try logging in it says error I've tried logging using my email too it doesn't log in😫"," [ it logged me out, I try logging in] [ I've tried logging using my email too]"
"I have a Samsung a53 and it's saying landscape is not supported when I try to go live This started happening 2 weeks ago, what's the reason?", [ when I try to go live it's saying landscape is not supported ]
"Facebook isn't that great recently, reels that show up on my page are inappropriate and distributing, I have read about others having the same problem and nothing being done, please fix it or I'm sure so many will delete the app because of this, I don't always use Facebook for reels but when they just pop up showing me really inappropriate content it's not what I want to see, something needs to be done asap thank you.",[]
I usually watch videos on Facebook But the ads are so annoying and frustrating It always comes when the best part of my videos are coming up The height of it all happened today while I was watching Stray Kids performance I can't take this anymore Facebook is just another app with ads disturbance again I so much hate the ad pop up Please make it stop I beg you😭😭 I'm already frustrated as is,[]
"I'm not sure what the new update was, but since I updated the app there's glitches and stuff doesn't work like it closes out and freezes sometimes, including the dating part of it the messages are no longer showing when you go to the conversation, it's annoying lol","[After the update the app closes out and freezes sometimes, including the dating part of it] [the messages are no longer showing when you go to the conversation]"
"when I click onto notifications and I click the back button it won't allow me to go back,i have to click home button then click the open apps button to re-enter fbook to do the same procedure all over again for notifications.i have uninstalled an reinstalled to no avail..it's been happening for 2 days now,I have cleared the cache an optimised my phone to still no avail..it's the app as I don't have any issues using the back button on any other apps..FIX THE PROBLEM.",[when I click onto notifications and I click the back button it won't allow me to go back] [I have to click home button then click the open apps button to re-enter facebook to do the same procedure all over again for notifications.] [i have uninstalled an reinstalled to no avail]
Sometimes whenever i try to login to my account it asks me for a correct password even though i put the correct one.,[Sometimes whenever i try to login to my account it asks me for a correct password even though i put the correct one.]
"For some reason I cannot message people from their profile page, it sends me to sign in to messenger then it kicks me to the messenger list of chats that I already have open.","[For some reason I cannot message people from their profile page , it sends me to sign in to messenger then it kicks me to the messenger list of chats that I already have open.]"
This app sucks when you update it my phone force to go back to home screen and there's a problem that I hate the profile glitches when you go to messenger it doesn't update my profile when I change it,[After the update my phone force to go back to home screen ] [ the profile glitches when you go to messenger it doesn't update my profile when I change it]
All great until I got banned from market place for no reason at all and that was a pain as I am into tech and that is where I got most of my computers and at stuff for a great price.,[]
There are some bugs in the application nowadays as when I go to any group whether it's public or private I see a lot of other posts in it which are not a part of it.,[ when I go to any group whether it's public or private I see a lot of other posts in it which are not a part of it.]
This apps...just auto log out from my account...then i cannot to log in back...because they say it was error,"[ It just auto log out from my account , then i cannot to log in back ] "
Update problem 6 months already cannot update I don't no why I rest 2 times my phone already but until now I cannot update I try many times already but can't,[ 6 months already cannot update .I rest 2 times my phone already but until now I cannot update]
tired of getting flagged for sharing too many memories and then flagging me from stuff that I shared so long ago and just being extra sensitive for no apparent reason honestly it's social media it's suppose to be fun and funny,[ Got flagged for sharing too many memories ] [ then flagging me from stuff that I shared so long ago and just being extra sensitive for no apparent reason ] 
"I have been trying for over a week to access a Facebook memories from a different date, but when memories is selected, it obviously only shows memories from today's date and when I try to access the settings icon to change it, the memories settings will not load at at all.","[ Trying to  access a Facebook memories from a different date, but when memories is selected, it obviously only shows memories from today's ] [when I try to access the settings icon to change it, the memories settings will not load at at all.]"
hi Facebook i need your help about my old account because my account was didn't open even i know the password and email i try to forgot the password like i always did but after all it was useless and the code didn't come.i hope you well respond immediately thank you,[I wanted to recover my old account but the verification codes dont work]
"it is great for staying in touch, but it is also deeply flawed, community standards can be draconian while allowing scams and missinformation unobstructed.",[]
Stupid app won't let me sign back in keeps going to a black screen and then kicks me out.,"[ It won't let me sign back in , keeps going to a black screen and then kicks me out.]"
I'm having a error that logged me out and I can't log back in says session expired please log back in and when I go to log back in it tell me the same thing,"[I'm having a error that logged me out and I can't log back in , It says session expired please log back in.when I go to log back in it tell me the same thing]"
"I can't set up two factor...the page is not loading...I am getting two factor code but after putting it in, the next step keeps buffering and my setup is undone everytime...I've tried a lot but failed...Please solve this problem as soon as possible","[I can't set up two factor , the page is not loading] [I am getting two factor code but after putting it in, the next step keeps buffering and my setup is undone everytime] "
My instagram this morning has just completely stopped working nothing loads nor sends and when I went online to look for help nothing worked I have deleted and reinstalled the app cleared the cache and data and tried to re-log in however now it just comes up with a different error message stating problems on their end and to try again which does not change no matter how many times I try to log back in.,[My instagram  has just completely stopped working]  [nothing loads nor sends] [ I have deleted and reinstalled the app cleared the cache and data and tried to re-log in] [now it just comes up with a different error message stating problems on their end and to try again which does not change no matter how many times I try to log back in.]
"After installing new update now I am not able to seek the video and if I tried to seek then video stops playing and freeze and the second thing if someone reply on my comment and if I navigate through the notification then the status bar becomes black and it looks very bad, and there are tons of issues in this app which is impossible to list here, please fix the issues.",[After installing new update now I am not able to seek the video and if I tried to seek then video stops playing and freeze] [   if someone reply on my comment and if I navigate through the notification then the status bar becomes black and it looks very bad]
Lots of glitches since the last update the most annoying is the slide bar to rewind or fast forward freezes and you have to exit the video and then restart it or you have to watch the entire video again to get back to where you wanted to replay.,"[After the last  update slide bar to rewind or fast forward freezes ,you have to exit the video and then restart it or you have to watch the entire video again to get back to where you wanted to replay.]"
"There is an irritating malfunction, whenever I move the video or reel forward the video stops, and the line that shows where you reached in the reel stops showing, and I can't move the video anymore, it needs to be fixed ASAP.","[ I move the video or reel forward, the video stops, the line that shows where you reached in the reel stops showing ] [I can't move the video anymore]"
"Always get bugs every onces a week , sometimes when someone do live and I tap to join the app crash(also happens with the new add notes option), sometime the feed doesn't load (currently happing while I'm writing this) sometime you can't delete your cmt nor scroll cmt it gets stucked"," [ I tap to Join live video,  the app crash(also happens with the new add notes option)] [ the feed doesn't load sometimes] [ I can't deletemy comment nor scroll comment it gets stucked]"
"Worst experience 😔,my reels are not sending 😑even messages and my reactions to the reels are also not sending it's showing something is wrong try again later all the time 🤬 and other one is when iam logging to my account in other devices it's showing this user id is not available but in my phone it's clearly showing my I'd 😭 do something about it 😕","[ Reels are not sending , even messages and my reactions to the reels are also not sending it's showing something is wrong try again later ] [when logging to account in other devices it's showing 'this user id is not available' but in the phone it's clearly showing the Id]"
"There are alot of bugs since I updated to the new version, and my ig feed can't be refreshed, and I can't log in to it, i can't see my text, Even if i try to log in from chrome it says an condition occurred, I am trying from many times, but I am not able to login, Instagram please fix this errors, I am going to depression please do something to it, as soon as possible, this is a request!","[ I updated the app, Ig feed can't be refreshed, I can't log in to it] [ I can't see my text, i try to log in from chrome, it says an condition occurred] "
"Hope you guys also fix this, I don't even apply a highlights to show on the top of my profile, but when I tried to use the Instagram of my friend they see that there's a block highlights that can't be seen, although it's okay because it's just black and it just say highlights but I just don't like it, i want my Instagram to look clean and there is this circle button that is just highlights without me putting highlights, hope you will fix this","[ I didnot put a hihglight on my profille, people are seing it in my profile ]"
"Too many glitches lately, it freezes if you try forward or go back on a video, and it starts automatically refreshing feed when you're reading/watching someone's post, which is annoying.",[ it freezes if I try forward or go back on a video] [ it starts automatically refreshing feed when I'm reading/watching someone's post]
This is so disgusting that audio becomes unavailable after we post somrthing using that audio😤😤😤 Instagram should atleast give us an option to change the song after it becomes unavailable...we could atleast edit the audio of the particular post...,"[ I post somrthing using audio,audio becomes unavailable ]"
"account got hacked, have the double authenticator thing turned on, but the codes don't work, backup codes don't work, sending the video of your face for authentication, still need to use the codes that don't work, you can ask other profiles you have as friends on insta for help, but it doesn't work or you can get a text/email with codes, you fill in the code, then you have to fill in another code, which doesn't work, probably because the authenticator isn't connected to my insta properly.,","[I Have all the authenticator on, still got hacked. the recovery codes dont work]"
"Instagram was the best app but now its just a trash, i was automatically logged out and now i can't even login again through my Instagram app, i can login through chrome but my app is just not letting me login even though my internet connection is good and i already did all the experiments like cleared cache and uninstalled and reinstalled it so many times but still can't login through app, Please launch an update as soon as possible to fix these type of problems","[ I Was automatically logged out, i can't  login again through my Instagram app,] [  I can login through chrome ]"
"Poor usability, the app is based on images and videos while you can't maximize image without keep holding your fingers , and for videos you can't control seek, playback speed, nothing at all","[ I can't maximize image without keep holding my fingers , and for videos I can't control seek, playback speed]"
Instagram works fine most of the time for me but right now I can't reload the page and my messages aren't sending I tried to close the app and re-open it i tried to restart my phone and that didn't work also the line for going back or forward in the video doesn't work it disappears when I try to use it and I have to close out the video and open it again it's very annoying please fix it 🙏🏼,"[I can't reload the page and my messages aren't sending ]   [ the line for going back or forward in the video doesn't work , it disappears when I try to use it and I have to close out the video and open it againi]"
"It is a good platform but when you have seen a no of reels and want to refresh the page and when tap to reel icon it doesn't comes up (first reel) and most irritating thing is that we have to do scroll one by one reel to comes up and then page is going to refresh, and that is the most ridiculous update.....","[ I have seen a no of reels, i want to refresh the page, I tap to reel icon, it doesn't comes up (first reel)] [ I have to do scroll one by one reel to comes up, page is going to refresh]"
"I have been trying to register for the past two days now via the app and I have not been given access despite inputing my details it only redirect to a ""security checkup"" and after the verification, it displays a message that says: ""Your noCaptcha response code is missing or invalid."" I can't register up till this moment.","[I have been trying to register for the past two days now via the app and I have not been given access despite inputing my details] [ it only redirect to a ""security checkup"" and after the verification, it displays a message that says: ""Your noCaptcha response code is missing or invalid."" I can't register up till this moment.]"
"I am unable to enter my LinkedIn it is locked and it asks security check for verification and after clearing the security it asks to verify identity with either citizenship, licence or passport but i tried to provide citizenship then it always never verifies similarly not worked with passport as well ...how can i get it back i am tired LinkedIn contact also asks to log in first but i am unable.","[I am unable to enter my LinkedIn it is locked and it asks security check for verification and after clearing the security it asks to verify identity with either citizenship, licence or passport ] [ I provided citizenship then it always never verifies similarly not worked with passport as well ] "
User interface it to hard to understand worst app it should improve ui and interface simple and also logo of app it not to good worst app I am also face issue when edit profile and writing about on bio sometimes it's take long time and not set it should fix and also improve settings simple so understand settings on this app too bad experience.,[User interface is to hard to understand]   [editing profile and writing about on bio sometimes ]   [Make the setting more userfriendly.]
"Worst app ever, I got irritated while verifying email and changing password, I is not sending OTP for verification, and while verifying my work email, it is not able to verify, and also when I switch tab it starts from starting again and again."," [ I try to verify email and chang password, I am not geting OTP for verification, [ when I switch tab it starts from starting again and again.]"
"Garbage job suggestions even after using premium for 5-6 months and that's with AI, I don't know how the hell they have implemented it.",[ ]
In the job description when we click on more to view entire description text is visible in black and should be visible in white.,"[I click on more to view entire description, text is visible in black, it should be visible in white.]"
"Worst app, I created new profile I sent the invitations(to the max) My profile not even visible to others (even the visibility is enablee to public) And my invitations didn't received by others, when I asked them.",[ I created new profile I sent the invitations My profile not even visible to others And my invitations didn't received by others]
"I've never seen an app like this that will send you a lot of spam emails , even after you unsubscribe from it it will still give you emails .","[ It sends  a lot of spam emails , even after I unsubscribed from it ]"
"I just joined LinkedIn and now after connecting with few people I cannot access the account, it has error connecting"," [ i Joined Linkedin, i connected with few people, I cannot access the account, it has error connecting]"
"Very disappointed with the app.😡 This is the second time when I was using the app and dealing with a client through the app and suddenly while typing, the app restricted and logged out my account and while entering the mail and password they appear to be incorrect.","['suddenly while was typing the app, it restricted and logged out my account and while entering the mail and password they appear to be incorrect""]"
"Very disappointed, like i don't want to use this app again and not create any account any more, it's impossible to set up the account, it's asking to verify my number, I'm sure of the number that i put but it's not working, then you will no longer have access yo your account cause it's telling you that you reached the maximum number of attempts, it's very disappointing","[when i tried to create an acount it asks to verify my number.I'm sure of the number that i put but it's not working, then i will no longer have access my account cause it's telling methat you reached the maximum number of attempts]"
"I receive a notification about a job posting that looks interesting, and when I click on it I receive a list of jobs with the one referenced no where in the list.",['I receive a notification about a job posting.when I click on it I receive a list of jobs with the one referenced no where in the list']
"Tricked me into getting premium for free, then charged me before the billing cycle date, so when i canceled, it was already too late",[Tricked me into getting premium for free then charged me before the billing cycle date so when i canceled it was already too late]
I cancelled my premium subscription 3 days prior to end of trial period but then too the subscription amount for deducted from my bank,[I cancelled my premium subscription 3 days prior to end of trial period but then too the subscription amount for deducted from my bank]
Dear team i am experiencing issu on your app samsung A34 while viewing post post did not render .please solve these issue as soon as possible,[while i viewe post  it  did not render.]
"I had a new pad and it made me install the app and then had to get 3 times a verification code3 times and twice to install app, way too much, terrible app",[ it made me install the app.3 times a verification code3 times and twice to install app]
Very useless when applying as when you click the job posted link it will direct you to another site that will ask you to sign up!,[when applying as when you click the job posted link it will direct you to another site that will ask you to sign up]
"Cant apply job using easy apply button, when I click on it , it is showing error occured while loading the page.","[Can't apply job using easy apply button. when I click on it ,it is showing error occured while loading the page.]"
please stop spamming me with notifications about my missed notifications when I don't have any notifications :),[spamming me with notifications about my missed notifications when I do n't have any notifications]
App crashes whenever I open the app and connect it to Google account,[App crashes whenever I open the app and connect it to Google account]
Can't sign in just a loop asking me to sign in when I try logging in - broken app,[Can't sign in just a loop asking me to sign in when I try logging in]
"Always the problem of verify your identity, and when u try to verify it doesn't catche the documents images and it never verifies.",[when i try to verify it does n't catche the documents images and it never verifies]
"It never loads as it should..always "" no connection"" I have just downloaded it after awhile ..my phone is updated, the app is updated...and I still can't use it..then it lags and stops working, kicking me out ..tired of it..this is why I often delete the app all together!",[never loads as it should always no connection.stops working kicking me out tired of it]
"despite updating the app, the NFC chip scanning is not working...when you press continue the app suddenly stops or directs you to phone settings, it doesn't open the camera :/",[when i press continue the app suddenly stops or directs you to phone settings.does n't open the camera.]
