content,Contains User Action-App Problem,Contains keyword,,,,,,,,,,,,,,,,,,,Contains User Action-App Problem,Contains keyword
"Stuck on setting the user name, no error message etc. Used to be good",1,0,,,,,,,,,,,,,,,,,,,,
I have paid for the pro version. It works for a few months then asked me to pay again. Sent an email to the support email. They replied they have nothing to do with the payment. So who does then. Stay away guys.,,0,,,,,,,,,,,,,,,,,,,,
Won't show events I add to it. Makes different events random flags or sectors for no particular reason. Really annoying.,1,0,,,,,,,,,,,,,,,,,,,,
The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,0,0,,,,,,,,,,,,,,,,,,,,
"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",0,1,,,,,,,,,,,,,,,,,,,,
It does not send me notification when i open this application it shows troubleshooting background running,1,1,,,,,,,,,,,,,,,,,,,,
"Ads with free apps are acceptable, but fullscreen & non-skippable ads blocking the entire screen for 20 seconds are NOT. Awful user experience. Google has recently removed 600 Android apps from Play Store because of disruptive fullscreen ads, this app may be the next one to be removed. Not recommended.",0,0,,,,,,,,,,,,,,,,,,,,
"Slow, less friendly, Wunderlist was far better app, which you bought and killed. I am not liking it and finally uninstalling after tolerating it for 8 months.",0,1,,,,,,,,,,,,,,,,,,,,
"Don't pay for pro! I paid for the pro, changed phones and it removed my pro status and wants me to pay again!",1,0,,,,,,,,,,,,,,,,,,,,
Too many errors.,0,0,,,,,,,,,,,,,,,,,,,,
Reminders DON'T work.,0,0,,,,,,,,,,,,,,,,,,,,
Not good. Wasted time.,0,0,,,,,,,,,,,,,,,,,,,,
"Now down to 1 star for the unappreciated bilingual holiday settings for BC Canada. Absolutely no need for this. The phone and app setting where the language is set to ""English"" should override any other situation. I didn't get a satisfactory answer from the dev. I'll keep deducting stars as long as the app doesn't improve. Update July '20: over 543 different apps and the only 1 ramming French down my phone is BC2! My 1 star won't change until you do. No change!!!",,0,,,,,,,,,,,,,,,,,,,,
How do I save changes to dailies(I have a ton of subtasks I curate as I hone in my routines) The save confirm button is gone! Also the app feels so different than the last version and it's a shock but that's par for the course with updates.,0,0,,,,,,,,,,,,,,,,,,,,
"Sends mails claiming monthly payments of $4 without yearly commitment but monthly without yearly commitment costs $7 And also the app is quite crappy without premium, and premium at $4 would still be too expensive for what you get.",0,0,,,,,,,,,,,,,,,,,,,,
App starts ads after 1 month and opens wanting paid every time after the first month.,0,1,,,,,,,,,,,,,,,,,,,,
"The old navigation was better, especially on desktop. I miss being able to edit directly, now I have to go through more steps.",0,0,,,,,,,,,,,,,,,,,,,,
Hopeless,0,0,,,,,,,,,,,,,,,,,,,,
Can't print after last update,0,1,,,,,,,,,,,,,,,,,,,,
Worst most useless app I've had the misfortune to try. Literally zero point in having this over Google calendar. Don't waste your space. It's useless. You can't have recurring tasks& everything is behind a pay wall. Avoid.,,,,,,,,,,,,,,,,,,,,,,
"This app use to be ""all calendars in one app"" but not anymore. So frustrating that you are not able to add anymore O365/Exchange calendars. Not willing to use 2 separate calendar apps. Sorry.",0,0,,,,,,,,,,,,,,,,,,,,
I don't like this app,0,0,,,,,,,,,,,,,,,,,,,,
It used to be great but ever since it updated it doesn't work and it let's me go onto other apps while in use which defeats the purpose of the app. I was going to upgrade to premium but now that its not working I don't dare risk it if even the basic features don't work then I doubt that the premium ones will.,1,0,,,,,,,,,,,,,,,,,,,,
Was good. But not keeping up with the world. Having font size a pay feature with today's high resolution displays make the text so tiny that it can't be read. So in order to use the free version I have to pay for it.,,,,,,,,,,,,,,,,,,,,,,
Everything behind a pay wall...,,,,,,,,,,,,,,,,,,,,,,
$50 for a simple app? No thanks.,0,0,,,,,,,,,,,,,,,,,,,,
"Don't bother unless you pay them($7.99yr) they don't offer a 
trial(suspicious) and you get NO access to features without paying. Too 
many other apps just like this that are much cheaper and let you TRY the 
pay version before paying.",0,1,,,,,,,,,,,,,,,,,,,,
"This app was perfectly fine before Microsoft got its hands on it, I used it for years for pretty much everything, it was perfect! Now I cant share lists with people unless they are in my organization, lists don't sync, or just hang whenever I try to force it to sync, people don't receive my requests within a list. This app is now a complete waste of space on my phone, and after years of wanderlist I am now forced to try find a new app.",1,1,,,,,,,,,,,,,,,,,,,,
Garbage,0,0,,,,,,,,,,,,,,,,,,,,
Why does this basic app need access to my contacts and refuse to work without? Give me a break you filthy parasites.,,,,,,,,,,,,,,,,,,,,,,
Will not enable me to unsubscribe!,0,0,,,,,,,,,,,,,,,,,,,,
Doesn't sync with calendar.,0,0,,,,,,,,,,,,,,,,,,,,
"I love it except, and this is a big issue for me, it's totally server based. Want to update anything, but have a bad internet connection? Too bad, it's either going to take forever or fail. I would use and maybe even pay for this app to just have a way to have everything first be saved on my device. So, back to hunting for a to-do app. Edit 3/23: I have to drop my review on this to 1 star. You can manually edit values within the app for stats making any it unreasonable that I need internet.",1,0,,,,,,,,,,,,,,,,,,,,
For anyone who wants to use this app: Devs stopped updating this in 2018. So they won't reply to your queries and/or issues. Look elsewhere...,,,,,,,,,,,,,,,,,,,,,,
Doesn't sync with my phone app,0,0,,,,,,,,,,,,,,,,,,,,
Cant log in after an uninstall. When i press log in i get a pro pop up. But i already have pro. Just let me log in!!!!! Furthermore it just gives me an error when i try to restore purchase. Incredibly disappointed. Loved the app but now i feel robbed. Please fix,1,1,,,,,,,,,,,,,,,,,,,,
"I subscribed to premium version and it was just working perfect I rate it 5 star but after latest update icon widget is not working. One more issue is there, in agenda view hide declined view option not actually working and declined events are keep showing for the whole day",1,1,,,,,,,,,,,,,,,,,,,,
"Great app for those who need extra motivation This is just my idea, but why don't add timed to-do (in image of monsters or something) that will reduce the health of the protagonist (or any negative effects) if they did not finish it on time It may as well push the user to work immediately later than procrastinate, I think I got more ideas but will be too long to write here, so... Anyway, nice app, cool app",0,0,,,,,,,,,,,,,,,,,,,,
Got into the help menu by accident. Can't get back to my lists.,1,0,,,,,,,,,,,,,,,,,,,,
Great!,0,0,,,,,,,,,,,,,,,,,,,,
"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",,,,,,,,,,,,,,,,,,,,,,
Good but the paid version did not work as I wanted to use it more so I was disappointed,0,0,,,,,,,,,,,,,,,,,,,,
"Very helpful, simple to use app that helps remind me what I need to do and what my priorities are for the day or the week. It's helped me stay on track and supported creating new habits. Highly recommend!",0,0,,,,,,,,,,,,,,,,,,,,
"Plz help, it says m typing wrong passcode, it is not opening with my old passcode",0,0,,,,,,,,,,,,,,,,,,,,
"Needs at least 1 more level of subtasks to work for me and no restrictions 
on number of subtasks.",,,,,,,,,,,,,,,,,,,,,,
"App is good. But I want to suggest something > There should be To do list type of feature, that is what sort of things we are doing regularly from our routine will be selected and those which left undone will be not selected. In this way more clear picture of time allotment and productivity can be seen.",,,,,,,,,,,,,,,,,,,,,,
"Could be a great app except that like another user said, it does not sync between devices when the description claims that it can. That's a big letdown for me because when used any other of my devices, and when I switched phones, I couldn't sync the app up with my data or any habits I've been tracking, even though I have the premium account. When attempting to sync It always says that there is no internet connection, but there always is. So I can't give it a full 5/5 rating, otherwise I might.",,,,,,,,,,,,,,,,,,,,,,
Widget sering tidak muncul kegiatan hari ini dan harus tutup buka baru muncul,,,,,,,,,,,,,,,,,,,,,,
"HabitNow looks like a great app, but it doesn't have an easy backup protocol. That's a complete deal breaker.",,,,,,,,,,,,,,,,,,,,,,
This app is very good,,,,,,,,,,,,,,,,,,,,,,
"Solid app, makes tracking habits easy.",,,,,,,,,,,,,,,,,,,,,,
Good,,,,,,,,,,,,,,,,,,,,,,
Good app but I can't get it to shade in the entire timeframes of my activities like in the photos here. It only has a line at the end time.,,,,,,,,,,,,,,,,,,,,,,
"Took me awhile to figure it out, the mechanics are interesting, the design is fun. It helps me build and quit some habits that i have been trying to.",,,,,,,,,,,,,,,,,,,,,,
Kept using it for two years but stopped now because of the intrusive ads they started displaying. Switched to another app,,,,,,,,,,,,,,,,,,,,,,
Keeps telling me my email is invalid when it's a normal Gmail.. Won't let me sign up,,,,,,,,,,,,,,,,,,,,,,
I got Pro version. App worked fine for 4 days. But now its crashing a lot. Again n again need to reinstall and there is no guarantee that i will Login in 1 try. You need to fix this,,,,,,,,,,,,,,,,,,,,,,
I really like it but there are some things that I need to pay for them..,,,,,,,,,,,,,,,,,,,,,,
" it primarily for reminders. It hGotas a lot of settings for how you want your alarms or notifications, but those are pretty useless when they don't work. Didn't get a single notification to remind me of the stuff I set up.",,,,,,,,,,,,,,,,,,,,,,
Best,,,,,,,,,,,,,,,,,,,,,,
Très pratique !,,,,,,,,,,,,,,,,,,,,,,
"Does what it's supposed to, one time charge for premium (which is still pretty basic...) I wish there was a was to make the list view more compact, visually hard to scan over the list. Also a custom order option would be great.",,,,,,,,,,,,,,,,,,,,,,
Simple and easy to use! I only wished I could see it in a calendar view?,,,,,,,,,,,,,,,,,,,,,,
"I could use this application to categorize my short and long terms goals. I appreciate that, Thanks.",,,,,,,,,,,,,,,,,,,,,,
"Still handles only the most basic task repeat functions. Cannot handle ""the second Sunday every X months"" or ""last day of the month"" scanarios. Interface is only so-so, does not show task times at a glance in main Tasks screen",,,,,,,,,,,,,,,,,,,,,,
Es muy completo para lo que necesito,,,,,,,,,,,,,,,,,,,,,,
Great app!,,,,,,,,,,,,,,,,,,,,,,
It would be greater if it can show also Google Reminders integrated.,,,,,,,,,,,,,,,,,,,,,,
"I was pretty pleased with the layout and the weekly view on the paid version, but then I started encountering problems. First of all, I used fb to sign up and I logged out of the app, and I can no longer sign in. It stays loading indefinitely. Also, on the weekly view it showed the incorrect name for the day and kept changing it. It also changed notifications randomly.",,,,,,,,,,,,,,,,,,,,,,
You reaaallllyyy don't have a lot without paying,,,,,,,,,,,,,,,,,,,,,,
Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,,,,,,,,,,,,,,,,,,,,,,
Straight forward. I like the widgets on this and makes it easy to check in on what you need to do for the day. The scheduling is also very helpful because you can have tasks that are intermittent or habits that are intermittent on a regular schedule. It's also nice to be able to have a goal as a number or just a yes or no did you do it or not. And the statistics are nice because you can look back and see how consistent you've been with something and that will remind you to buckle down.,,,,,,,,,,,,,,,,,,,,,,
Nice,,,,,,,,,,,,,,,,,,,,,,
Dont this app have repeat task feature?,,,,,,,,,,,,,,,,,,,,,,
"This is one of my favourite app on phone. Widget is on main page, full size. I would like if it has reminder integrated, or alarm sound connected with tasks. Sometimes notification is not strong (or bored) enough to remind me on an event/task.",,,,,,,,,,,,,,,,,,,,,,
I have finally given up with this Application. Although it works ok on its own not being part of Outlook (calendar & mail) on my Andoid phone is a drag. If I put a To Do into my calendar I like to also add it to my to do list but having to run this as a second stand alone app is far from ideal. On my Windows phone it was integrated into Outlook as it is on the PC. Why isn't it part of Outlook?,,,,,,,,,,,,,,,,,,,,,,
Good app... helps to check each activity on hand.,,,,,,,,,,,,,,,,,,,,,,
"UPDATE: 5* still. Note20 Ultra. UPDATE: 5* again. Note8 now. Long time user here, on Galaxy Note4 now. Love the new design, but hate that I cannot fully trust it anymore, especially with templates (which used to be a big plus for v1.0). Specifically, on several occasions (and more than 1 template, it's not a settings fault) it will assign a random date to the event - for once, but not always, it seemed to be the date when the template was created?! Will update/upgrade stars when this is fixed.",,,,,,,,,,,,,,,,,,,,,,
"doesn't work anymore, I can not go to the store to purchase different tree species anymore, forest stops responding and I'm back on my home screen. I can't have any sounds and the coins I earn disappear ): I don't like it anymore. it's pointless, but these glitches have actually made me more desciplined, and I don't use my phone even without the fear of the plant dying. the app sucks and I can't care more about reaching out to the developers /:",,,,,,,,,,,,,,,,,,,,,,
"Good app, but very buggy and support is completely unhelpful. There's no way to change your subscription level in the app or play store. Even if you cancel the app will think you're still subscribed. So basically when you pick a subscription level you are fully committed to it because the devs are too incompetent and uncaring to help. When using a choosing skill the habits n dailies show up like 10% of the time and the devs basically said ""oh well, we can't fix that"" when I mentioned it.",,,,,,,,,,,,,,,,,,,,,,
Making a list is not something I find easy. But ToDoist is making it happen.,,,,,,,,,,,,,,,,,,,,,,
"It's good, but I don't like how it makes me feel bad for how unproductive I am... But that's just me! Nothing against the program",,,,,,,,,,,,,,,,,,,,,,
"I loved the app, its unreal!! The only reason i give it four stars is because i would add a section with to do list opcions for the tasks that doesn't have an specific time!!! Do that and i'll give you five stars",,,,,,,,,,,,,,,,,,,,,,
"Simple, helpful and very neat.",,,,,,,,,,,,,,,,,,,,,,
Great app and it is way better than your regular reminder application. Gonna start using it for my daily life routine,,,,,,,,,,,,,,,,,,,,,,
perfect hybrid of digital and paper...im in love!,,,,,,,,,,,,,,,,,,,,,,
The interface is intuitive. I am giving a three because my online data did not sync when I upgraded.,,,,,,,,,,,,,,,,,,,,,,
"A little hard to use at 1st. However, if you go through the tutorials. The app will help you develop habits. I have been using it for a month and am definitely noticing a difference. If you want to change your habits, download this app.",,,,,,,,,,,,,,,,,,,,,,
App crashes whenever I try to edit time of any task.,,,,,,,,,,,,,,,,,,,,,,
Good one but you might get disturbed by frequent adds,,,,,,,,,,,,,,,,,,,,,,
Fun way to manage tasks and improve yourself.,,,,,,,,,,,,,,,,,,,,,,
"This app is very helpful! Total game changer for my ADHD. Unfortunately, after level 25 the app becomes a money grab and the items you find and the equipment you can buy with coins get severely capped. But overall I'm happy this app exists, it really helps me stay on track :) Perhaps if the game cost a few dollars to purchase the developers wouldn't need to resort to capping in order to create revenue from the app. I feel as though many people will quit once the RPG element is restricted.",,,,,,,,,,,,,,,,,,,,,,
"The program is very good on my old phone(galaxy note 4), but notifications don't work on the new one(redmi note 8 pro). I hope you will fix them. Thanks",,,,,,,,,,,,,,,,,,,,,,
I was hoping for similar to notes app on iPhone. Not even close. But I prob don't know how to use it,,,,,,,,,,,,,,,,,,,,,,
It could be a very useful app but it is not very intuitive. Why should I set up the date in google calendar and not directly in the app?,,,,,,,,,,,,,,,,,,,,,,
It's very easy to use and it's perfect for making schedules. I highly recommend using it !,,,,,,,,,,,,,,,,,,,,,,
Best time managment app,,,,,,,,,,,,,,,,,,,,,,
"It really helps with getting things done! Receiving XP, gold and different skills makes uninteresting tasks much easier to do. I like that - on the contrary to other apps - it is actually useful without having to get the premium version. Though the premium version is a nice addition. Suggestion: some rewards could already be existent so you don't have to come up with them yourself. I personally don't have many ideas for coming up with rewards and don't know what gold price would be appropriate.",,,,,,,,,,,,,,,,,,,,,,
"I just started but really like it so far. Competes directly with Habitica but less of the nonsense costumes. It's hard at first to sort characteristics, skills and tasks (you are essentially your own game dev) but on paper I recently sorted out what I want to improve (Skills) and what is stopping me (Characteristics). Tasks will follow soon after. I'm really hopeful about this setup, I love the design, and I never do this but I might actually pay for a subscription (!!!) if all goes well.",,,,,,,,,,,,,,,,,,,,,,
"I love this app. I have been able to put my life together just by the free features of this app. I would always stress about having to do certain things everyday. I wouldn't do them because I had to remember to do them every day. Because of this app I don't have to remember to do them. I get reminded to do them and I do them happily. If I hadn't found this app, I don't know if I would have ever put my life together.",,,,,,,,,,,,,,,,,,,,,,
I like this app. I've tried many apps and this is the most suitable and beautiful app I've came across. Just what I needed. Thank you :),,,,,,,,,,,,,,,,,,,,,,
4k 7g8 0 3rd v of. Uhuh,,,,,,,,,,,,,,,,,,,,,,
It was good now alatm sound of tasks is full but sound is low only this app i have seperate alarm volume and its full,,,,,,,,,,,,,,,,,,,,,,
"It used to be a great app, but since you took away ability to change/delete a single event in a series of the recurring events - it's not good for me any more 😞",,,,,,,,,,,,,,,,,,,,,,
Постоянно что-то всплывает и деревьев мало,,,,,,,,,,,,,,,,,,,,,,
Best planner I've ever used for organizing tasks and events. Many thanks,,,,,,,,,,,,,,,,,,,,,,
"Amazing, creative and motivating. Kudos Designers love the Gameboy pixellated feel really made me nostalgic. Amazing app",,,,,,,,,,,,,,,,,,,,,,
"Uhm there's a little bug that I encountered, I cannot disable the skill 
decay :< pls fix I'll give 5 stars",,,,,,,,,,,,,,,,,,,,,,
"Great for progress. Their motivation quotes stopped working. Plus it doesn't remember which habit you were last viewing... so a pain in the ass ""weekly"" intrusive display. I specifically looked for this app. Because it's simple and easy on the eyes.",,,,,,,,,,,,,,,,,,,,,,
Love it,,,,,,,,,,,,,,,,,,,,,,
The day ended and i didnt end my task and it didnt shift or alarm about undone tasks,,,,,,,,,,,,,,,,,,,,,,
I like its simplicity,,,,,,,,,,,,,,,,,,,,,,
This might be a good app. I didn't get to use it because the only way to use is it is to open it with a calendar app. I uninstalled the app because of that reason.,,,,,,,,,,,,,,,,,,,,,,
"It's nice, simple, and helps me to make lists that I can check off.",,,,,,,,,,,,,,,,,,,,,,
"Aplicación fácil de usar y muy práctica para el manejo de tareas, que ofrece herramientas útiles para crear rutinas y administrar mejor el tiempo. Sus opciones para planear, recordar y planear tareas ayudan a que estas no se dejen de ejecutar por descuido. Para mejorar, tiene la forma en la que se visualiza el formato enriquecido.",,,,,,,,,,,,,,,,,,,,,,
Me esta gustando el sistema que usa,,,,,,,,,,,,,,,,,,,,,,
"So, SO, close to perfect - just not quite. It needs three things to get five stars from me. 1) Tasks should be sortable by multiple criteria, so that I can order them by date and then by priority, for instance. 2) Tasks should be nestable, with sub-sub-sub-sub-etc. tasks. 3) It should not *need* access to Google Calendar, if there is a local calendar - it should be optional, not mandatory. The rest of you, stop whining about the free version - if you want to complain, buy it first.",,,,,,,,,,,,,,,,,,,,,,
"Used it for 4 years, April they updated it and it's now a productivity killing app rather than a productivity booster app. Why? If you wanna rename your todo list you should be able to just click on the todoist and rename it right? WRONG, it opens a NEW WINDOW with sub taks!! I now have to click 2 times to rename the todo bullet. 2 times instead of 1.. Productivity or stupidity? I'm changing todo apps until they poll their users and understand that this is absolutely horrible.. Bye for now!",,,,,,,,,,,,,,,,,,,,,,
Ok,,,,,,,,,,,,,,,,,,,,,,
